Lessonid,Description,Courseid,Id
3,3. Introduccion a HTML,46,9360
3,3. El patrón Iterador,44,8973
3,3. ¿Cómo realizar preguntas? y ¿Cómo crear marcadores?,45,9066
3,3. 3. Instalando Python,47,9490
3,3. 3. Grupo de Facebook EXCLUSIVO para alumnos,49,9774
3,3.  Buscar y ejecutar comandos con los ficheros encontrados,48,9750
4,4.  Listar contenido de ficheros,48,9751
4,4. 4. Uso del curso y de la plataforma Udemy,49,9775
4,4. 4. Instalando Git Bash,47,9491
4,4. Instalaciones necesarias,45,9065
4,4. Programación Funcional,44,8974
4,4. Qué es HTML,46,9359
4,4. Getting the Source Code,43,8884
4,4. Comenzando en Mac,42,8687
4,4. Iniciando nuestro portafolio,41,8460
4,4. Como descargar Bootstrap 5 y agregarlo a nuestro proyecto,40,8229
4,4. Initial Environment Setup,39,8080
4,4. Getting Setup With Visual Studio Code,38,7992
4,4. The Typescript Jumpstart Ebook,37,7882
4,4. Instalación del Entorno en Windows y Linux,36,7824
4,4. Entorno de Desarrollo,35,7718
4,4. Source code and Resources used on this course,33,7314
4,4. React project contents,34,7556
4,4. ¿Qué es Entity Framework?,32,7094
4,4. Anatomía de una Aplicación de Angular,31,6990
4,4. Métodos HTTP,30,6834
4,4. ¿Que es una etiqueta?,29,6618
4,4. Course assets and source code,25,5119
4,4. ¿Que es una etiqueta y como funciona?,28,6347
4,4. Where to get the source code and course assets,24,4847
4,4. Como hacer el despliege de microservicios en azure?,23,4615
4,4. Introducción al Curso,22,4512
4,4. Arquitectura y Workflow de React,21,4321
4,4. Instalacion de Postman,20,4186
4,4. Protocolo HTTP/2,19,4096
4,4. Creacion de proyecto de test,18,4049
4,4. Como trabajan ASP.NET Core y SQL Server?,17,3939
4,4. Instalacion de .Net Core,15,3768
4,4. Instalar Cliente Angular,14,3616
4,4. Instalacion y configuracion de Docker,13,3388
4,4. Important: Creating a Project with the Angular CLI,12,3262
4,4. Join our Online Learning Community,11,3123
4,4. Join Our Learning Community,9,2647
4,4. A Closer Look at the Ionic Platform,10,2934
4,"4. CSS History, Present &amp; Future",8,2383
4,4. Installing &amp; Using TypeScript,2,743
4,4. Angular vs Angular 2 vs Latest Angular Version,3,1127
4,4. Join our Online Learning Community,1,408
4,4. Building Single-Page Applications (SPAs) with React,5,1609
4,4. The Key MonDB Characteristics (and how they differ from SQL Databases),7,2088
4,4. What is a Single Page Application (SPA)?,6,1866
5,5. How Does the MEAN Stack Work?,6,1867
5,5. Understanding the MonDB Ecosystem,7,2089
5,5. Exploring React.js Alternatives (Angular / Vue),5,1608
5,5. How JavaScript Is Executed,1,409
5,5. CLI Deep Dive &amp; Troubleshooting,3,1126
5,5. TypeScript Advantages - Overview,2,744
5,5. Course Outline,8,2382
5,5. What is Angular?,10,2933
5,5. Virtual Machines vs Docker Containers,9,2648
5,5. Why Do We Use Web Components?,11,3124
5,5. Creating a Project (Course Setup),12,3261
5,5. Registrarse en Docker Hub,13,3387
5,5. Instalar extensiones de Angular,14,3615
5,5. Componentes y requisitos del proyecto,15,3767
5,5. Creacion de Base de Datos y Tablas,17,3940
5,5. Creacion de metodo test para success y error,18,4050
5,5. Workflow de gRPC en Microservicios,19,4097
5,5. Backend y Frontend - Creacion de Servidor NodeJS,20,4185
5,5. Creacion de Proyecto React Hooks,21,4322
5,5. Modelo de Entidades y Patrones de diseno,22,4513
5,5. Control de versiones - Git,23,4616
5,5. Introduction,24,4846
5,5. La estructura de una página web con HTML,28,6348
5,5. Introduction,25,5120
5,5. Estructura HTML,29,6617
5,5. Anatomía de una petición HTTP,30,6835
5,5. ¿Qué es ASP.NET Core?,31,6991
5,5. ¿Dónde podemos utilizar Entity Framework Core 2.1?,32,7093
5,5. Hot Module Replacement,34,7557
5,5. Introduction,33,7313
5,5. Principales Características de C Sharp. Parte 1,35,7717
5,5. .Net CLI,36,7823
5,5. Quick Introduction to Jasmine - Test Suites and Specifications,37,7883
5,5. Section Intro,38,7991
5,5. Bootstrap Sandbox Setup,39,8079
5,5. Descarga de recursos de todo el curso,40,8230
5,5. Creando el encabezado,41,8461
5,5. Comenzando en Linux,42,8688
5,5. Requirements,43,8885
5,5. Por si te interesa....,46,9358
5,5. La librería RxJS,44,8975
5,5. Introducción a la sección,45,9064
5,5. 5. Instalamos VS Code,47,9492
5,5. 5. Descarga e Instalación de Todas las Herramientas,49,9776
5,5.  Fichero de ejemplo,48,9752
6,6.  Tratar contenido vertical de ficheros,48,9753
6,6. 6. Abriendo Photoshop por primera vez,49,9777
6,6. 6. Hola Mundo en Python,47,9493
6,6. Temas puntuales de la sección,45,9063
6,6. Principios Push de RxJS,44,8976
6,6. Cómo hacer los ejercicios,46,9357
6,6. Installing Xcode on macOS,43,8886
6,6. Solucionar problemas,42,8689
6,6. Creando la sección de trabajos,41,8462
6,6. Que es la grid de Bootstrap,40,8231
6,6. Section Introduction,39,8078
6,6. Create &amp; Open HTML Pages,38,7990
6,6. Step-by-Step Implementation of our First Jasmine Specification,37,7884
6,6. Visual Studio 2019 Community Edition,36,7822
6,6. Principales Características de C Sharp. Parte 2,35,7716
6,6. Creating the .Net projects and references,33,7312
6,6. Folder structure,34,7558
6,6. Instalando el CLI de Entity Framework Core 3+,32,7092
6,6. Instalando Node,31,6992
6,6. Códis de Estatus HTTP,30,6836
6,6. Etiquetas para textos,29,6616
6,6. Creating the .Net API Project using the dotnet CLI,25,5121
6,6. Etiquetas de texto en HTML,28,6349
6,6. Creating the Web API project,24,4845
6,6. Que es un sistema de versiones?,23,4617
6,6. Instalar Herramientas de EF,22,4514
6,6. Descripcion de la estructura de un proyecto React,21,4323
6,6. Instalar nodemon,20,4184
6,6. Proyecto gRPC en NET 5,19,4098
6,6. Creacion de test project NUnit,18,4051
6,6. Creacion de Solucion y Proyecto ASP.NET Core,17,3941
6,6. Creacion de Solucion Net Core,15,3766
6,6. Web Tradicional y SPA,14,3614
6,6. Creacion de Containers,13,3386
6,6. Our First Project,12,3260
6,6. Comparing Web Components &amp; Frameworks,11,3125
6,6. Docker Setup - Overview,9,2649
6,6. Node.js Download,10,2932
6,6. Choose Your Track,8,2381
6,6. Course Outline,2,745
6,6. Node.js Download,3,1125
6,6. Dynamic vs Weakly Typed Languages,1,410
6,6. Join our Online Learning Community,5,1607
6,6. General Setup Instructions &amp; Installing MonDB on macOS,7,2090
6,6. MUST READ: Angular CLI - Latest Version,6,1868
7,7. Installing Node &amp; the Angular CLI,6,1869
7,7. Installing MonDB on Windows,7,2091
7,7. About This Course &amp; Course Outline,5,1606
7,7. JavaScript Executes In A Hosted Environment,1,411
7,7. Project Setup and First App,3,1124
7,7. How To Get The Most Out Of The Course,2,746
7,7. Course Prerequisites,8,2380
7,7. Our First Ionic App!,10,2931
7,7. Docker Setup - macOS,9,2650
7,7. Course Outline,11,3126
7,7. The Structure of This Course,12,3259
7,7. Analisis de MonDB,13,3385
7,7. Angular Framework,14,3613
7,7. Creacion de Microservice y arquitectura ASP.NET Core,15,3765
7,7. Instalar Librerias de ASP.NET Core Entity Framework,17,3942
7,7. Metodo NUnit,18,4052
7,7. Servidor gRPC,19,4099
7,7. Enviar data al cliente,20,4183
7,7. React Hooks y useState,21,4324
7,7. Patron Repository,22,4515
7,7. Instalacion de Git y dar de alta en Github,23,4618
7,7. Running the API using the DotNet CLI,24,4844
7,7. Listas y listados en tu página web html,28,6350
7,7. Setting up VS code to work with C#,25,5122
7,7. Listas en HTML,29,6615
7,7. Repositorio de Github,30,6837
7,7. Instalando Angular,31,6993
7,7. Demo 1 - Instalando Entity Framework Core 2.1 en Winforms,32,7091
7,7. Source control,34,7559
7,7. Changes to the .Net 6 hosting model,33,7311
7,7. Estructura Básica de una Aplicación,35,7715
7,7. Documentación. Presentaciones - Sección 1. Introducción,36,7821
7,7. Unit Testing with Jasmine - Introduction to Jasmine Spies,37,7885
7,7. Doctype &amp; Basic Layout,38,7989
7,7. Headings &amp; Basic Typography,39,8077
7,7. Creando nuestra primera página utilizando la grid,40,8232
7,7. Creando la sección de contacto,41,8463
7,7. Preguntas más frecuentes,42,8690
7,7. Installing Xamarin on macOS,43,8887
7,7. Ejercicio 1,46,9356
7,"7. Entorno e instalaciones: Git, Node y NPM",44,8977
7,7. Conceptos generales,45,9062
7,7. 7. Introducci�n a la secci�n,47,9494
7,7. 7. Diferencias entre Mac Y PC,49,9778
7,7.  Tratar contenido horizontal de ficheros,48,9754
8,8.  Estadísticas del contenido de ficheros,48,9755
8,8. 8. Abriendo Documentos,49,9779
8,"8. 8. Instalamos xcode, homebrew y python",47,9495
8,8. ¿Qué es ReactiveX? ¿Cómo funciona?,45,9061
8,8. Repositorio y estructura del curso,44,8978
8,8. Qué es HTML5,46,9355
8,8. Installing Xamarin on Windows,43,8888
8,8. Editores de códi,42,8691
8,8. Creando el pie de página,41,8464
8,8. Columnas automáticas,40,8233
8,8. Text Alignment &amp; Display,39,8076
8,8. Setting Up Live Server (VSCode Extension),38,7988
8,8. Structuring Angular Unit Tests - Test Setup using beforeEach,37,7886
8,8. Amplia tus conocimientos,36,7820
8,8. Doc - .Net Framework,35,7714
8,8. Reviewing the project files and startup,33,7317
8,8. Course assets and source code,34,7560
8,8. Demo 2 - Instalando Entity Framework Core 2.1 en ASP.NET Core 2.1,32,7090
8,8. Instalando Visual Studio,31,6995
8,8. Introducción,30,6838
8,8. Imagenes,29,6621
8,8. .Net 6 update - switching to the classic hosting model,25,5123
8,8. Poner imágenes en una web,28,6351
8,8. .Net 6 Project changes,24,4843
8,8. Sincronizar Microservicios en Github,23,4619
8,8. Creacion de Entidades Class,22,4516
8,8. Mensajes entre componentes React Hooks,21,4325
8,8. Enviar request desde un cliente,20,4182
8,8. Cliente gRPC,19,4100
8,8. Debug NUnitTest,18,4053
8,8. Crear Cadenas de Conexion a la Base de Datos,17,3943
8,8. Instalacion y configuration de Postgresql,15,3764
8,8. Creacion del Proyecto,14,3619
8,8. Instalar Docker Container MonDB,13,3384
8,8. How to get the Most out of this Course,12,3258
8,8. How To Get The Most Out Of The Course,11,3128
8,8. Docker Setup - Windows,9,2651
8,8. The History of Ionic,10,2937
8,8. How To Get The Most Out Of This Course,8,2386
8,8. Setting Up A Code Editor / IDE,2,747
8,8. Editing the First App,3,1123
8,8. Course Outline - What's In This Course?,1,412
8,8. The Two Ways (Paths) Of Taking This Course,5,1605
8,8. Installing the MonDB Shell,7,2092
8,8. Installing our IDE,6,1870
9,9. Exploring the Project Structure,6,1871
9,9. Installing monimport,7,2093
9,9. Getting The Most Out Of This Course,5,1604
9,9. How To Get The Most Out Of This Course,1,413
9,9. The Course Structure,3,1122
9,9. The Course Project Setup,2,748
9,9. Recommended Tools,8,2379
9,9. Ionic 4+ vs Ionic 3,10,2930
9,9. Docker Setup - Docker Toolbox for Older Systems,9,2652
9,9. Module Introduction,11,3135
9,9. Module Introduction,12,3257
9,9. Crear Base de Datos en MonDB,13,3383
9,9. Configuracion de Angular,14,3612
9,9. Entity Framework Core - Code First y Postgresql,15,3763
9,9. Crear DbSet Curso en Entity Framework Core,17,3944
9,9. Modelos Assertion,18,4054
9,9. Comunicacion Unary gRPC,19,4101
9,9. Metodos request,20,4181
9,9. React Hooks y useEffects,21,4326
9,9. Creacion de Interfaces e Implementacion Repository,22,4517
9,9. Docker Containers en Microservicios,23,4620
9,9. Reviewing the Web API startup files,24,4850
9,9. Tablas HTML,28,6352
9,9. Getting to know the API project files,25,5124
9,9. Tablas,29,6614
9,9. Introducción a ASP.NET Core,30,6839
9,9. Instalando Visual Studio Code,31,7002
9,9. DbContext - La Pieza Central de Entity Framework,32,7097
9,9. Introduction,34,7561
9,9. The API controller and using postman,33,7310
9,9. Diapositivas - Resumen Sección Introducción,35,7713
9,9. Crear un Proyecto con Visual Studio,36,7819
9,9. Using Dependency Injection in Angular Testing - The Angular TestBed,37,7887
9,9. Meta Tags &amp; Search Engines,38,7987
9,9. Floats &amp; Fixed Positions,39,8075
9,9. Row Columns,40,8234
9,9. Herramientas que utilizaremos,41,8465
9,9. Introducción a la sección de HTML 5,42,8692
9,9. Setting the connection between Visual Studio and a Mac computer,43,8889
9,9. Etiquetas nuevas de HTML5,46,9354
9,9. Entorno de programación (IDE),44,8979
9,9. ¿Cómo leer los diagramas de canicas?,45,9060
9,9. 9. Instalamos VS code en macOS,47,9496
9,9. 9. Creando Documentos Nuevos,49,9780
9,9.  Buscar en contenido de ficheros,48,9756
10,10.  Ordenar contenido de ficheros,48,9757
10,10. 10. ¿Qué Es Un Documento Artboard?,49,9781
10,10. 10. Nuestra primera aplicaci�n,47,9497
10,10. Configuración del proyecto,45,9059
10,10. Función Create,44,8980
10,10. Etiquetas obsoletas,46,9353
10,10. Creating a Project on Windows,43,8890
10,10. Tu primera página web,42,8693
10,10. Hola Mundo y estructura basica de un sitio web,41,8466
10,10. Alineando columnas verticalmente,40,8235
10,10. Colors &amp; Background,39,8074
10,"10. Headings, Paragraphs &amp; Typography",38,7986
10,10. Angular Unit Testing Best Practices and commonly used Test Utilities,37,7888
10,10. Crear un Proyecto con CLI,36,7818
10,10. Codi Fuente - Mi Primera Aplicación de Consola,35,7712
10,10. Creating a domain entity,33,7308
10,10. Why React,34,7562
10,10. Proveedores de Bases de Datos,32,7089
10,10. Modelos de Trabajo,31,6996
10,10. Instalando Visual Studio y .NET Core - Creando el Web API,30,6840
10,10. Formularios,29,6612
10,10. Creating our first Entity,25,5125
10,10. Crear formularios en HTML,28,6353
10,10. Adding our first API Controller,24,4842
10,10. Kubernetes  y Containers,23,4621
10,10. SQL Server en el proyecto,22,4518
10,10. React Hooks consumiendo Web Service,21,4327
10,10. Creacion de proyecto NodeJS,20,4180
10,10. Implementacion Server,19,4103
10,10. ExpectedResult in Unit Test,18,4055
10,10. Mapeando una tabla de SQL Server con Entity Framework,17,3945
10,10. Arquitectura CQRS y Microservices,15,3762
10,10. Estructura Angular,14,3610
10,10. Instalar Visual Studio,13,3382
10,10. Adding Application-wide Styles,12,3256
10,10. Understanding let and const,11,3129
10,10. Docker Playground,9,2653
10,10. How to Build Native Mobile Apps with Ionic,10,2928
10,10. Where to Find the Source Code,8,2377
10,10. Module Introduction,2,749
10,10. How to get the Most out of the Course,3,1121
10,10. Using Course Resources,1,414
10,10. Setting Up The Course Dev Environment (Code Editor),5,1603
10,10. Time To Get Started!,7,2094
10,10. Course Outline,6,1872
11,11. How To Get The Most Out Of This Course,6,1873
11,11. Shell vs Drivers,7,2095
11,11. Module Introduction,5,1602
11,11. JavaScript vs Java,1,415
11,11. What is TypeScript?,3,1120
11,11. Using Types,2,750
11,11. Useful Resources &amp; Links,8,2376
11,11. Comparing Ionic to Alternatives,10,2927
11,11. An Overview of the Docker Tools,9,2654
11,11. Working with Arrow Functions,11,3130
11,11. Let's Practice Application-wide Styles,12,3255
11,11. Instalar SDK NET 5 - Muy Importante!,13,3381
11,11. Ejecutar Proyecto Angular,14,3609
11,11. Insertar data en Postgresql usando Entity Framework Core y CQRS,15,3761
11,11. Relaciones entre Entidades en Entity Framework Core,17,3946
11,11. Intervalos de test,18,4056
11,11. Implementacion Cliente,19,4112
11,11. Creacion de metodos con express,20,4179
11,11. Creacion de proyecto en firebase,21,4328
11,11. Docker y configuracion de containers,22,4519
11,11. Instalar y Configurar Docker Localmente,23,4622
11,11. Adding a C# Entity class,24,4840
11,11. Ejercicio completo para practicar con HTML,28,6354
11,11. Introduction to Entity Framework,25,5126
11,11. Ejercicio completo de HTML,29,6611
11,11. Instalando Visual Studio Code y .NET Core - Creando el Web API,30,6841
11,11. Aviso: Posible Error al Crear App de Angular,31,6997
11,11. Algunas Nuevas Funcionalidades de Entity Framework Core 2.1,32,7087
11,11. React concepts,34,7563
11,11. Adding an Entity Framework Db Context,33,7307
11,11. Variables,35,7711
11,11. Testing Angular HTTP Services - Test Setup with the HttpClientTestingModule,37,7889
11,11. Estructura de las aplicaciones web,36,7817
11,"11. Links, Images &amp; Attributes",38,7985
11,11. Margin &amp; Padding Spacing,39,8073
11,11. Alineando columnas horizontalmente,40,8236
11,11. Encabezados H,41,8467
11,11. La estructura de una página web,42,8694
11,11. Creating a Project on Mac,43,8892
11,11. Ejercicio 2,46,9362
11,11. Suscripciones y Observadores,44,8981
11,11. Introducción a la sección,45,9058
11,11. 11. REPL y matem�tica b�sica,47,9498
11,11. 11. Trabajando Con Paneles,49,9782
11,11.  Transformar contenido de ficheros - Comando tr,48,9758
12,12.  Transformar contenido de ficheros - Comando sed,48,9759
12,12. 12. Customizando Paneles Y Barra de Herramientas,49,9783
12,"12. 12. La base de python, identaci�n",47,9499
12,12. Temas puntuales de la sección,45,9057
12,12. Función from de RxJS,44,8982
12,12. The Structure of the Projects,43,8902
12,12. Sintaxis html,46,9352
12,12. Creando una página web completa,42,8695
12,12. Parrafos de Texto,41,8468
12,12. Espaciados entre columnas (Gutters),40,8237
12,12. Sizing &amp; Borders,39,8072
12,12. Lists &amp; Tables,38,7984
12,12. Angular HTTP Service Testing - Step-by-Step Implementation,37,7890
12,12. Documentación. Comandos útiles para CLI,36,7827
12,12. Constantes,35,7710
12,12. Creating an Entity Framework code first migration,33,7306
12,12. Intro to JSX,34,7564
12,12. Introducción al Módulo 2 - Creando la Base de Datos,32,7086
12,12. Creando la App de Angular,31,6998
12,12. Desactivando los Tipos de Referencia no Nulos,30,6842
12,12. Múltiples paginas,29,6610
12,12. Adding Entity Framework to our project,25,5127
12,12. Múltiples páginas,28,6355
12,12. Setting up Entity Framework,24,4839
12,12. Registrarse en docker hub,23,4623
12,12. Registrarse en Docker Hub,22,4521
12,12. Crear Proyecto React usando el npx,21,4329
12,12. Rutas en NodeJS,20,4189
12,12. Comunicacion Server Streaming,19,4104
12,12. Unit Test para cadenas de texto,18,4058
12,12. Relacion Uno a Uno - One to One en Entity Framework,17,3947
12,12. Crear Endpoint para Insertar data,15,3760
12,12. Comunicacion entre Javascript y Html en Angular,14,3608
12,12. La Arquitectura de nuestra App,13,3380
12,12. Adding CSS Frameworks or External Styles to Your App,12,3254
12,12. Exports and Imports,11,3131
12,12. Installing &amp; Configuring an IDE,9,2655
12,12. Course Outline,10,2926
12,12. Module Introduction,8,2375
12,12. TypeScript Types vs JavaScript Types,2,751
12,12. Optional: TypeScript Quick Introduction,3,1119
12,12. A Brief History Of JavaScript,1,416
12,12. Understanding let and const,5,1601
12,12. MonDB + Clients: The Big Picture,7,2096
12,12. Section Resources,6,1874
13,13. Module Introduction,6,1875
13,13. Course Outline,7,2097
13,13. Arrow Functions,5,1600
13,13. Setting Up a Development Environment,1,417
13,13. A Basic Project Setup using Bootstrap for Styling,3,1118
13,13. Important: Type Casing,2,752
13,13. Understanding the Course Project Setup,8,2374
13,13. How To Get The Most Out Of The Course,10,2925
13,13. Getting Our Hands Dirty!,9,2656
13,13. Understanding Classes,11,3132
13,13. How to Add Global Styles in a CLI Project,12,3253
13,13. Creacion de Proyecto con Visual Studio,13,3379
13,13. Como trabajan los IF y For en Angular?,14,3607
13,13. Crear Consulta de Datos con Entity Framework Core,15,3759
13,13. Relacion Uno a Uno - One to One en Entity Framework Parte 2,17,3948
13,13. Metodos Helper y Setup de objetos en Test,18,4069
13,13. Implementar Servidor,19,4105
13,13. Controllers en NodeJS,20,4178
13,13. Agregar material design a mi proyecto,21,4330
13,13. Creacion de Containers,22,4532
13,13. Creacion de Docker Containers,23,4624
13,13. Adding a connection string,24,4838
13,13. Enlaces con HTML,28,6356
13,13. Adding a DbContext class,25,5128
13,13. Enlaces y links,29,6609
13,13. Introducción,30,6843
13,13. Creando el Web API con Visual Studio,31,6999
13,13. Migraciones,32,7085
13,13. React Dev tools,34,7565
13,13. Creating the database,33,7305
13,13. If...Else,35,7709
13,13. Preventing Unintended HTTP Requests using the HTTP Testing Controller,37,7891
13,13. Amplia tus conocimientos,36,7816
13,13. Forms &amp; Input,38,7983
13,13. CSS Breakpoints,39,8071
13,13. Utilidades de la grid de Bootstrap,40,8238
13,13. Etiquetas de Texto,41,8469
13,13. Encabezados,42,8696
13,13. Introduction to XAML,43,8893
13,13. Estructura de un HTML,46,9350
13,13. Funciones range y of de RxJS,44,8983
13,13. Nuestro primer observable,45,9056
13,13. 13. Comentarios,47,9500
13,13. 13. Configuración De Atajos De Teclado,49,9784
13,13.  Compresión - Comando tr,48,9760
14,14.  Utilidades varias,48,9761
14,14. 14. Guardando Espacios De Trabajo,49,9785
14,14. 14. Variables,47,9501
14,14. Observer y subscriber,45,9055
14,14. Funciones interval y time de RxJS,44,8984
14,14. Header,46,9349
14,14. Coding the functionality of a button,43,8894
14,14. Párrafos,42,8697
14,14. Enlaces,41,8470
14,14. Practica: Creando un sitio responsive,40,8239
14,14. Section Intro,39,8070
14,14. Block &amp; Inline Level Elements,38,7982
14,14. Patrón de Diseño MVC,36,7814
14,14. Testing Angular HTTP Data Modification Services,37,7892
14,14. Switch...Case,35,7708
14,14. Seeding data to the Database,33,7304
14,14. Decisions made on this course,34,7566
14,14. Aplicando las Migraciones,32,7084
14,14. Creando el Web API con Visual Studio Code,31,7000
14,14. Creando el Web API,30,6844
14,14. Programación desde cero y Javascript - ¿Que aprenderé?,29,6608
14,14. Creating the Connection string,25,5129
14,14. CSS - ¿Que aprenderemos?,28,6357
14,14. Adding an Entity Framework migration,24,4837
14,14. Crear imagenes y Docker Containers para Microservicios,23,4625
14,14. Instalar Servidor SQL Server en Docker Container,22,4522
14,14. Agregar Theme de Material Design - Parte 1,21,4331
14,14. NodeJS y Middleware,20,4176
14,14. Implementar Cliente,19,4106
14,14. Test en Collections,18,4059
14,14. Relacion Uno a Muchos - One to Many en Entity Framework Core,17,3949
14,14. Consulta condicionar con Entity Framework Core,15,3758
14,14. Comunicacion entre componentes Angular,14,3606
14,14. Crear Persistencia entre NET Core y MonDB,13,3378
14,14. How to use NPM to install CSS Frameworks,12,3252
14,"14. Classes, Properties and Methods",11,3133
14,14. Course Outline,9,2657
14,14. The Course Source Code,10,2924
14,14. Adding CSS to our Project with Inline Styles,8,2373
14,"14. Working with Numbers, Strings &amp; Booleans",2,753
14,14. About the Course Code / Code Snapshots,3,1117
14,14. Course FAQs,1,418
14,14. Exports and Imports,5,1599
14,14. How To Get The Most Out Of The Course,7,2098
14,14. Understanding the Folder Structure,6,1876
15,15. Understanding Angular Components,6,1877
15,15. Module Introduction,7,2099
15,15. Understanding Classes,5,1598
